audio_id,file_path,task_type,delivery,language_use,topic_dev,overall
stu048,/Users/heliang/Desktop/audio_renamed/stu048.m4a,1,30,30,30,30
stu043,/Users/heliang/Desktop/audio_renamed/stu043.m4a,1,29,30,30,29
stu086,/Users/heliang/Desktop/audio_renamed/stu086.m4a,2,29,29,30,29
stu199,/Users/heliang/Desktop/audio_renamed/stu199.m4a,3,29,30,30,29
stu051,/Users/heliang/Desktop/audio_renamed/stu051.m4a,1,29,29,28,28
stu002,/Users/heliang/Desktop/audio_renamed/stu002.m4a,1,28,28,27,27
stu003,/Users/heliang/Desktop/audio_renamed/stu003.m4a,1,27,28,27,27
stu038,/Users/heliang/Desktop/audio_renamed/stu038.m4a,1,27,28,27,27
stu046,/Users/heliang/Desktop/audio_renamed/stu046.m4a,2,26,28,27,27
stu132,/Users/heliang/Desktop/audio_renamed/stu132.m4a,0,28,27,27,27
stu004,/Users/heliang/Desktop/audio_renamed/stu004.m4a,4,26,27,26,26
stu035,/Users/heliang/Desktop/audio_renamed/stu035.m4a,1,28,28,26,26
stu039,/Users/heliang/Desktop/audio_renamed/stu039.m4a,1,26,27,25,26
stu042,/Users/heliang/Desktop/audio_renamed/stu042.m4a,1,26,28,26,26
stu044,/Users/heliang/Desktop/audio_renamed/stu044.mp3,3,25,27,25,26
stu052,/Users/heliang/Desktop/audio_renamed/stu052.m4a,1,25,27,26,26
stu068,/Users/heliang/Desktop/audio_renamed/stu068.m4a,3,27,28,25,26
stu078,/Users/heliang/Desktop/audio_renamed/stu078.m4a,2,26,26,27,26
stu145,/Users/heliang/Desktop/audio_renamed/stu145.m4a,1,25,27,25,26
stu160,/Users/heliang/Desktop/audio_renamed/stu160.mp3,0,25,27,26,26
stu200,/Users/heliang/Desktop/audio_renamed/stu200.m4a,4,25,26,26,26
stu036,/Users/heliang/Desktop/audio_renamed/stu036.m4a,1,26,27,24,25
stu041,/Users/heliang/Desktop/audio_renamed/stu041.m4a,1,24,26,24,25
stu045,/Users/heliang/Desktop/audio_renamed/stu045.m4a,1,25,26,23,25
stu055,/Users/heliang/Desktop/audio_renamed/stu055.m4a,2,25,25,25,25
stu085,/Users/heliang/Desktop/audio_renamed/stu085.m4a,2,25,24,26,25
stu127,/Users/heliang/Desktop/audio_renamed/stu127.m4a,3,25,26,25,25
stu143,/Users/heliang/Desktop/audio_renamed/stu143.m4a,1,25,25,23,25
stu175,/Users/heliang/Desktop/audio_renamed/stu175.m4a,1,24,25,23,25
stu192,/Users/heliang/Desktop/audio_renamed/stu192.m4a,1,25,25,24,25
stu026,/Users/heliang/Desktop/audio_renamed/stu026.m4a,4,24,25,23,24
stu037,/Users/heliang/Desktop/audio_renamed/stu037.wav,2,24,24,23,24
stu063,/Users/heliang/Desktop/audio_renamed/stu063.m4a,2,25,23,24,24
stu073,/Users/heliang/Desktop/audio_renamed/stu073.m4a,3,25,24,23,24
stu075,/Users/heliang/Desktop/audio_renamed/stu075.mp3,4,24,23,25,24
stu083,/Users/heliang/Desktop/audio_renamed/stu083.m4a,4,23,25,24,24
stu121,/Users/heliang/Desktop/audio_renamed/stu121.m4a,0,23,24,25,24
stu142,/Users/heliang/Desktop/audio_renamed/stu142.m4a,3,24,25,23,24
stu195,/Users/heliang/Desktop/audio_renamed/stu195.m4a,0,24,26,24,24
stu001,/Users/heliang/Desktop/audio_renamed/stu001.m4a,2,24,23,23,23
stu021,/Users/heliang/Desktop/audio_renamed/stu021.m4a,4,23,22,22,23
stu034,/Users/heliang/Desktop/audio_renamed/stu034.m4a,1,22,23,22,23
stu050,/Users/heliang/Desktop/audio_renamed/stu050.mp3,0,21,24,22,23
stu053,/Users/heliang/Desktop/audio_renamed/stu053.m4a,0,21,23,24,23
stu054,/Users/heliang/Desktop/audio_renamed/stu054.mp3,4,23,23,23,23
stu072,/Users/heliang/Desktop/audio_renamed/stu072.m4a,0,22,22,23,23
stu074,/Users/heliang/Desktop/audio_renamed/stu074.m4a,1,23,22,22,23
stu081,/Users/heliang/Desktop/audio_renamed/stu102.m4a,2,23,24,23,23
stu094,/Users/heliang/Desktop/audio_renamed/stu094.m4a,1,23,23,22,23
stu102,/Users/heliang/Desktop/audio_renamed/stu122.m4a,4,22,25,23,23
stu105,/Users/heliang/Desktop/audio_renamed/stu105.m4a,3,21,23,23,23
stu123,/Users/heliang/Desktop/audio_renamed/stu123.m4a,4,23,23,23,23
stu129,/Users/heliang/Desktop/audio_renamed/stu129.m4a,2,24,22,22,23
stu140,/Users/heliang/Desktop/audio_renamed/stu140.m4a,1,23,23,24,23
stu174,/Users/heliang/Desktop/audio_renamed/stu174.m4a,1,23,23,23,23
stu189,/Users/heliang/Desktop/audio_renamed/stu189.m4a,4,22,24,23,23
stu193,/Users/heliang/Desktop/audio_renamed/stu193.mp3,1,22,24,23,23
stu196,/Users/heliang/Desktop/audio_renamed/stu196.m4a,0,21,23,24,23
stu126,/Users/heliang/Desktop/audio_renamed/stu126.m4a,4,23,24,24,23
stu109,/Users/heliang/Desktop/audio_renamed/stu109.m4a,4,21,23,22,22
stu114,/Users/heliang/Desktop/audio_renamed/stu114.m4a,2,21,22,22,22
stu116,/Users/heliang/Desktop/audio_renamed/stu116.m4a,1,22,23,21,22
stu119,/Users/heliang/Desktop/audio_renamed/stu119.m4a,4,21,22,23,22
stu135,/Users/heliang/Desktop/audio_renamed/stu135.mp3,2,22,22,22,22
stu168,/Users/heliang/Desktop/audio_renamed/stu168.m4a,1,21,23,22,22
stu171,/Users/heliang/Desktop/audio_renamed/stu171.m4a,2,21,22,22,22
stu122,/Users/heliang/Desktop/audio_renamed/stu081.m4a,0,21,22,22,22
stu031,/Users/heliang/Desktop/audio_renamed/stu031.m4a,2,20,22,23,22
stu082,/Users/heliang/Desktop/audio_renamed/stu082.m4a,0,20,23,23,22
stu084,/Users/heliang/Desktop/audio_renamed/stu084.m4a,4,20,22,22,22
stu088,/Users/heliang/Desktop/audio_renamed/stu088.m4a,0,21,22,22,22
stu091,/Users/heliang/Desktop/audio_renamed/stu091.m4a,1,22,22,22,22
stu095,/Users/heliang/Desktop/audio_renamed/stu095.m4a,1,22,21,21,22
stu108,/Users/heliang/Desktop/audio_renamed/stu108.m4a,1,21,23,21,22
stu117,/Users/heliang/Desktop/audio_renamed/stu117.m4a,2,21,23,22,22
stu118,/Users/heliang/Desktop/audio_renamed/stu118.m4a,2,20,22,21,22
stu124,/Users/heliang/Desktop/audio_renamed/stu124.mp3,1,20,22,23,22
stu141,/Users/heliang/Desktop/audio_renamed/stu141.m4a,2,22,22,21,22
stu147,/Users/heliang/Desktop/audio_renamed/stu147.m4a,1,21,23,23,22
stu150,/Users/heliang/Desktop/audio_renamed/stu150.m4a,4,21,22,23,22
stu173,/Users/heliang/Desktop/audio_renamed/stu173.m4a,1,20,23,22,22
stu178,/Users/heliang/Desktop/audio_renamed/stu178.m4a,4,23,22,22,22
stu186,/Users/heliang/Desktop/audio_renamed/stu186.m4a,4,22,22,22,22
stu194,/Users/heliang/Desktop/audio_renamed/stu194.m4a,0,21,22,23,22
stu149,/Users/heliang/Desktop/audio_renamed/stu149.m4a,4,21,22,23,22
stu098,/Users/heliang/Desktop/audio_renamed/stu098.m4a,1,20,21,21,21
stu011,/Users/heliang/Desktop/audio_renamed/stu011.m4a,4,21,22,21,21
stu017,/Users/heliang/Desktop/audio_renamed/stu017.m4a,1,21,21,21,21
stu018,/Users/heliang/Desktop/audio_renamed/stu018.m4a,4,20,20,21,21
stu023,/Users/heliang/Desktop/audio_renamed/stu023.m4a,4,21,22,20,21
stu030,/Users/heliang/Desktop/audio_renamed/stu030.m4a,4,21,22,20,21
stu033,/Users/heliang/Desktop/audio_renamed/stu033.m4a,4,21,20,21,21
stu058,/Users/heliang/Desktop/audio_renamed/stu058.m4a,4,21,20,21,21
stu059,/Users/heliang/Desktop/audio_renamed/stu059.m4a,4,20,21,20,21
stu066,/Users/heliang/Desktop/audio_renamed/stu066.m4a,0,20,21,20,21
stu076,/Users/heliang/Desktop/audio_renamed/stu076.m4a,3,21,21,20,21
stu079,/Users/heliang/Desktop/audio_renamed/stu079.m4a,2,20,20,21,21
stu087,/Users/heliang/Desktop/audio_renamed/stu087.m4a,4,20,20,21,21
stu110,/Users/heliang/Desktop/audio_renamed/stu110.m4a,4,20,22,21,21
stu113,/Users/heliang/Desktop/audio_renamed/stu113.m4a,0,21,21,21,21
stu115,/Users/heliang/Desktop/audio_renamed/stu115.m4a,3,21,22,21,21
stu120,/Users/heliang/Desktop/audio_renamed/stu120.mp3,1,20,22,21,21
stu153,/Users/heliang/Desktop/audio_renamed/stu153.m4a,0,22,21,21,21
stu156,/Users/heliang/Desktop/audio_renamed/stu156.m4a,1,21,20,22,21
stu161,/Users/heliang/Desktop/audio_renamed/stu161.m4a,3,22,21,21,21
stu169,/Users/heliang/Desktop/audio_renamed/stu169.m4a,1,20,23,21,21
stu197,/Users/heliang/Desktop/audio_renamed/stu197.m4a,4,21,20,22,21
stu198,/Users/heliang/Desktop/audio_renamed/stu198.m4a,1,20,22,21,21
stu080,/Users/heliang/Desktop/audio_renamed/stu080.m4a,1,19,19,20,20
stu092,/Users/heliang/Desktop/audio_renamed/stu092.m4a,4,19,19,20,20
stu103,/Users/heliang/Desktop/audio_renamed/stu103.m4a,1,20,19,19,20
stu107,/Users/heliang/Desktop/audio_renamed/stu107.m4a,1,19,19,20,20
stu177,/Users/heliang/Desktop/audio_renamed/stu177.m4a,4,20,20,19,20
stu064,/Users/heliang/Desktop/audio_renamed/stu064.m4a,1,20,20,20,20
stu057,/Users/heliang/Desktop/audio_renamed/stu057.mp3,2,21,20,20,20
stu005,/Users/heliang/Desktop/audio_renamed/stu005.m4a,4,21,19,19,20
stu009,/Users/heliang/Desktop/audio_renamed/stu009.m4a,1,20,21,19,20
stu010,/Users/heliang/Desktop/audio_renamed/stu010.m4a,0,21,20,20,20
stu020,/Users/heliang/Desktop/audio_renamed/stu020.m4a,3,20,21,19,20
stu024,/Users/heliang/Desktop/audio_renamed/stu024.m4a,4,20,20,20,20
stu029,/Users/heliang/Desktop/audio_renamed/stu029.mp3,1,19,20,19,20
stu032,/Users/heliang/Desktop/audio_renamed/stu032.m4a,1,20,20,20,20
stu071,/Users/heliang/Desktop/audio_renamed/stu071.m4a,0,20,21,20,20
stu093,/Users/heliang/Desktop/audio_renamed/stu093.m4a,4,19,19,20,20
stu104,/Users/heliang/Desktop/audio_renamed/stu104.m4a,1,21,20,20,20
stu111,/Users/heliang/Desktop/audio_renamed/stu111.m4a,4,19,20,21,20
stu137,/Users/heliang/Desktop/audio_renamed/stu137.m4a,4,19,21,20,20
stu138,/Users/heliang/Desktop/audio_renamed/stu138.mp3,1,19,20,20,20
stu148,/Users/heliang/Desktop/audio_renamed/stu148.m4a,3,20,20,21,20
stu151,/Users/heliang/Desktop/audio_renamed/stu151.m4a,4,20,20,20,20
stu155,/Users/heliang/Desktop/audio_renamed/stu155.m4a,1,20,20,21,20
stu157,/Users/heliang/Desktop/audio_renamed/stu157.m4a,2,19,19,20,20
stu166,/Users/heliang/Desktop/audio_renamed/stu166.m4a,1,19,22,19,20
stu170,/Users/heliang/Desktop/audio_renamed/stu170.m4a,4,19,20,20,20
stu191,/Users/heliang/Desktop/audio_renamed/stu191.m4a,4,19,20,19,20
stu099,/Users/heliang/Desktop/audio_renamed/stu099.m4a,4,19,19,19,19
stu112,/Users/heliang/Desktop/audio_renamed/stu112.m4a,1,19,19,19,19
stu131,/Users/heliang/Desktop/audio_renamed/stu131.m4a,1,19,20,19,19
stu014,/Users/heliang/Desktop/audio_renamed/stu014.m4a,1,20,19,19,19
stu007,/Users/heliang/Desktop/audio_renamed/stu007.mp3,4,19,20,18,19
stu049,/Users/heliang/Desktop/audio_renamed/stu049.wav,3,19,20,19,19
stu006,/Users/heliang/Desktop/audio_renamed/stu006.mp3,0,18,20,20,19
stu012,/Users/heliang/Desktop/audio_renamed/stu012.m4a,2,18,19,17,19
stu015,/Users/heliang/Desktop/audio_renamed/stu015.mp3,0,19,18,19,19
stu019,/Users/heliang/Desktop/audio_renamed/stu019.m4a,2,20,19,18,19
stu028,/Users/heliang/Desktop/audio_renamed/stu028.mp3,1,19,20,18,19
stu047,/Users/heliang/Desktop/audio_renamed/stu047.m4a,3,18,19,19,19
stu067,/Users/heliang/Desktop/audio_renamed/stu067.m4a,0,18,19,18,19
stu069,/Users/heliang/Desktop/audio_renamed/stu069.m4a,0,17,19,19,19
stu070,/Users/heliang/Desktop/audio_renamed/stu070.m4a,0,18,18,19,19
stu182,/Users/heliang/Desktop/audio_renamed/stu182.m4a,4,,,,19
stu183,/Users/heliang/Desktop/audio_renamed/stu183.m4a,4,,,,19
stu185,/Users/heliang/Desktop/audio_renamed/stu185.m4a,4,,,,19
stu089,/Users/heliang/Desktop/audio_renamed/stu089.m4a,1,17,19,18,18
stu133,/Users/heliang/Desktop/audio_renamed/stu133.m4a,2,17,18,18,18
stu136,/Users/heliang/Desktop/audio_renamed/stu136.m4a,4,17,19,17,18
stu162,/Users/heliang/Desktop/audio_renamed/stu162.m4a,4,18,18,17,18
stu163,/Users/heliang/Desktop/audio_renamed/stu163.m4a,4,17,19,16,18
stu167,/Users/heliang/Desktop/audio_renamed/stu167.m4a,4,19,16,17,18
stu062,/Users/heliang/Desktop/audio_renamed/stu062.m4a,1,18,18,18,18
stu065,/Users/heliang/Desktop/audio_renamed/stu065.m4a,4,17,17,18,18
stu022,/Users/heliang/Desktop/audio_renamed/stu022.m4a,4,17,17,18,18
stu040,/Users/heliang/Desktop/audio_renamed/stu040.m4a,2,18,19,17,18
stu090,/Users/heliang/Desktop/audio_renamed/stu090.m4a,2,18,18,18,18
stu139,/Users/heliang/Desktop/audio_renamed/stu139.m4a,4,17,17,18,18
stu188,/Users/heliang/Desktop/audio_renamed/stu188.m4a,4,18,18,19,18
stu190,/Users/heliang/Desktop/audio_renamed/stu190.mp3,4,17,18,18,18
stu056,/Users/heliang/Desktop/audio_renamed/stu056.mp3,0,17,17,16,17
stu159,/Users/heliang/Desktop/audio_renamed/stu159.m4a,4,16,17,18,17
stu125,/Users/heliang/Desktop/audio_renamed/stu125.m4a,1,17,17,17,17
stu154,/Users/heliang/Desktop/audio_renamed/stu154.m4a,4,16,18,17,17
stu158,/Users/heliang/Desktop/audio_renamed/stu158.m4a,4,17,17,16,17
stu184,/Users/heliang/Desktop/audio_renamed/stu184.m4a,4,17,18,17,17
stu008,/Users/heliang/Desktop/audio_renamed/stu008.m4a,4,16,17,16,17
stu013,/Users/heliang/Desktop/audio_renamed/stu013.m4a,1,17,18,17,17
stu025,/Users/heliang/Desktop/audio_renamed/stu025.m4a,3,17,16,17,17
stu077,/Users/heliang/Desktop/audio_renamed/stu077.mp3,0,16,18,17,17
stu096,/Users/heliang/Desktop/audio_renamed/stu096.m4a,2,18,17,17,17
